Crop,Year,Rainfall,Max Temp,Min Temp,Humidity,Sunshine,Wind Speed,Soil pH,Nitrogen,Phosphorus,Potassium,Organic Carbon,Soil Moisture,EC,Area,Yield,Production
Rice,1800,3561.8101782710437,37.50714306409916,24.39196365086843,80.95304694689628,4.780093202212183,12.33991780504304,5.1452090304204985,279.9264218662403,56.06690070459253,206.21088666940682,1.0514612357395061,49.097295564859834,0.6827098485602953,11404.616423235531,4050.1891745811263,46190853.97763868
Rice,1801,3456.3633644393067,33.24756431632238,22.591670111852693,70.19301990693147,7.059264473611897,12.092407909780627,5.730361621338045,204.95427649405377,47.364199053022155,217.77639420895204,1.4991844553958993,35.42703315240835,0.5146901982034298,3276.0702232798885,7632.672895478004,25005172.396910977
Rice,1802,3911.3172778521575,29.705241236872915,20.390309557911678,93.21099380386667,8.828160165372797,22.125960221746915,5.761534422933426,164.65081710095757,61.053981590729414,166.02287406094018,1.3050955871119472,34.85530730333811,0.12407196478065288,45556.69970186032,5764.817538091171,262626061.4188372
Rice,1803,3467.566614134116,33.200680211778106,23.280261676059677,66.46990594339344,8.847923138822793,21.626992350416717,7.348747353910473,284.2241025641473,55.87399872866511,238.2811352534675,1.2212312551297988,25.879485872574357,0.13165910223737665,16941.18620739995,7709.2452578102875,130603759.43107912
Rice,1804,3583.015934534223,30.71349031773896,24.972425054911575,72.48636643427562,5.404672548436904,18.14044124737373,5.352310562436907,270.32954711310595,24.473038620786248,248.03304049007758,2.9306119232416434,25.961470446025174,0.10386548198652168,40957.609994286875,7532.1332986573625,308498178.07138973
Rice,1805,4156.9055200289185,28.740446517340903,22.150794371265636,64.05541708337954,8.315517129377968,19.34947190241337,5.827245062131623,159.53375254290356,38.65893930293973,148.77749830401206,2.82401544584516,39.12672414065639,0.7210489198034287,24138.531332935516,4636.4538672496155,111917186.94831489
Rice,1806,3179.3913689074525,35.132447872229946,24.564710291701385,79.64470191493237,7.854835899772805,17.40693394546586,6.306832073454985,214.13115275378243,21.52514760464571,116.18371404899567,1.0785729642168356,39.09231233791341,0.3200491867534287,25919.963867070437,7142.3065727788,185128328.29396617
Rice,1807,3615.5743845534444,35.555511385430485,21.372788992949737,62.69429684400775,5.44875726456884,12.418319308810066,7.3242441308564326,271.2180569346625,58.00422539062541,230.71908852815767,3.0091801922477863,25.597101766581076,0.7247912989429844,27427.769853866885,5577.96732714489,152991204.10131904
Rice,1808,4211.160232746093,36.960912999234935,21.908020849831182,63.851817358468686,5.139675812709708,16.406616829393844,7.045036914806232,279.10958748845155,20.417127831871444,176.61209538663485,2.0435275078719473,26.663234314121908,0.18390575713357799,17543.14339877777,3436.0768339490824,60279588.627187066
Rice,1809,3778.1859326150493,35.03018958895178,22.181777614275763,94.01237289523363,8.812236474710556,13.776734437380462,6.243121264730964,195.13174647251546,37.090429662648056,105.53304210317992,2.523910834949742,35.08037069686584,0.13603512587499256,14653.67674759396,5748.154163054613,84231593.0007388
Rice,1810,4362.39882894998,30.395618906669725,20.86936923254734,77.13084660971471,8.928252270553003,13.630829072672507,6.6803388685146965,264.24294229930763,34.25825263954398,209.23245229177894,1.919457831798133,38.96917491780738,0.5434707975326264,27252.959519663167,6297.0484150566,171613205.5488966
Rice,1811,3061.162712332146,33.90892943188242,24.065386171053696,60.58057401247496,6.560465291496405,13.39743662796907,6.612931976023624,176.1549643507487,61.456264286147956,158.0103019450806,3.3418249718418362,24.125628324379797,0.338746445735181,6560.202540788864,8125.1482489597165,53302618.18711172
Rice,1812,4387.040427417844,36.77339353380981,21.547649766290935,83.09944161119627,8.08611100100608,18.328012173991937,6.324126445890016,186.27784363506777,25.586166068353954,234.58236369299902,3.251045142908326,38.99304371819804,0.3373208537340905,18111.269156020382,3433.1944130229936,62179508.07920484
Rice,1813,4330.629636397676,35.79875545857624,23.852189876925728,62.94489877482671,4.808143570473069,23.478312827906187,6.516072649148975,151.37955774249446,26.088292571961926,199.52526536620837,1.0126539596155468,24.82424154252496,0.4841136525566103,34902.86468694197,4027.118384975801,140557968.06910664
Rice,1814,3977.9418892539006,30.2426930946056,24.273075328085216,68.303718062388,5.626998490796339,21.197371076770363,6.624082247618037,277.3835115741267,59.4567735380206,185.24629050032075,1.2341869195702313,31.031474091783004,0.2856416573772078,12955.492525575095,6787.949628196943,87941230.67208575
Rice,1815,4338.06983276567,34.31138625997263,24.76886782124989,77.59229825868172,6.884519423131795,17.38776540728296,5.4881074694951115,258.3678172892258,36.846341746451344,103.64739496471807,2.6136807397679194,25.31332038221147,0.75832100904704,47742.50027312678,5352.277470501332,255531108.59726015
Rice,1816,4372.296585330672,31.701587002554444,20.092739699173205,92.49114969057038,6.140920741586571,24.499822285655043,7.409049942723132,277.95141832010404,37.66693352417514,157.7646592902888,3.127841678792142,29.50766015468833,0.21864492268026475,28283.26186045916,7216.283806863682,204100044.56891662
Rice,1817,3855.0917551340476,28.971764937707686,23.69004336019502,94.65188475364921,4.7004200761826205,17.77494478545605,7.193432679819889,261.1152926631307,61.82094445971608,205.37261259806638,1.898727878049388,28.8077553279348,0.6665528088349596,40695.55633927986,5668.054559689005,230664633.667936
Rice,1818,4300.608477870155,37.132405525564714,23.068054393165628,77.55307031405198,7.991475894833876,19.749458961666477,6.754917193144259,269.36890041541517,73.40032050905398,150.69927352773038,1.93895738159986,22.81945819522607,0.5047960986973218,2761.171416040362,3466.750532354072,9572292.476478772
Rice,1819,3429.811878192427,33.908332605690106,20.183001499634297,61.3071866062225,8.113002803298292,15.402859621168943,5.317651281629712,228.33648900822067,66.19961318591665,132.37315412452648,2.5572261895475004,22.56042394981304,0.1361772048180254,27036.376946839253,6836.898323144843,184844960.21175718
Rice,1820,3810.95268241516,34.374299014982064,24.35654800233597,94.15482278118871,6.581501741505976,14.844347094118689,6.987965486921759,190.62483768931114,46.338285242338166,111.7684572013399,1.0633768585386438,48.87945244033775,0.6851860843585441,35102.7360985912,6212.046275872011,218059821.0541715
