State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Black pepper,1059.0,245.0,0.23135033050047216
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Dry chillies,210.0,111.0,0.5285714285714286
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Dry ginger,471.0,554.0,1.1762208067940552
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Horse-gram,3854.0,1728.0,0.44836533471717693
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Paddy,92885.0,270059.0,2.907455455670991
Karnataka,DAKSHIN KANNAD,1997,Kharif     ,Rice,92885.0,180119.0,1.9391613285245195
Karnataka,DAKSHIN KANNAD,1997,Rabi       ,Dry chillies,889.0,1197.0,1.3464566929133859
Karnataka,DAKSHIN KANNAD,1997,Rabi       ,Groundnut,2966.0,4931.0,1.6625084288604182
Karnataka,DAKSHIN KANNAD,1997,Rabi       ,Horse-gram,222.0,133.0,0.5990990990990991
Karnataka,DAKSHIN KANNAD,1997,Rabi       ,Paddy,40539.0,117627.0,2.901576259897876
Karnataka,DAKSHIN KANNAD,1997,Rabi       ,Rice,40539.0,78462.0,1.935469547842818
Karnataka,DAKSHIN KANNAD,1997,Summer     ,Paddy,5312.0,15963.0,3.0050828313253013
Karnataka,DAKSHIN KANNAD,1997,Summer     ,Rice,5312.0,10650.0,2.004894578313253
Karnataka,DAKSHIN KANNAD,1997,Whole Year ,Arecanut,24727.0,44112.0,1.7839608525094026
Karnataka,DAKSHIN KANNAD,1997,Whole Year ,Cardamom,523.0,24.0,0.045889101338432124
Karnataka,DAKSHIN KANNAD,1997,Whole Year ,Sugarcane,2154.0,188260.0,87.40018570102136
Karnataka,DAKSHIN KANNAD,1997,Whole Year ,Turmeric,102.0,236.0,2.3137254901960786
Karnataka,DAKSHIN KANNAD,1998,Kharif     ,Dry ginger,339.0,3990.0,11.769911504424778
Karnataka,DAKSHIN KANNAD,1998,Kharif     ,Horse-gram,316.0,151.0,0.4778481012658228
Karnataka,DAKSHIN KANNAD,1998,Kharif     ,Moong(Green Gram),60.0,12.0,0.2
Karnataka,DAKSHIN KANNAD,1998,Kharif     ,Rice,39173.0,79829.0,2.0378577081152836
Karnataka,DAKSHIN KANNAD,1998,Kharif     ,Sesamum,506.0,205.0,0.4051383399209486
Karnataka,DAKSHIN KANNAD,1998,Rabi       ,Horse-gram,10.0,6.0,0.6
Karnataka,DAKSHIN KANNAD,1998,Rabi       ,Moong(Green Gram),1248.0,560.0,0.44871794871794873
Karnataka,DAKSHIN KANNAD,1998,Rabi       ,Rice,24984.0,52455.0,2.099543707973103
Karnataka,DAKSHIN KANNAD,1998,Summer     ,Rice,3597.0,8927.0,2.48179038087295
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Arecanut,21698.0,181622.0,8.370448889298553
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Black pepper,860.0,1992.0,2.316279069767442
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Cardamom,518.0,24.0,0.04633204633204633
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Coconut ,12827.0,54757.0,4.2688859437124815
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Dry chillies,468.0,608.0,1.2991452991452992
Karnataka,DAKSHIN KANNAD,1998,Whole Year ,Turmeric,47.0,238.0,5.0638297872340425
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Dry ginger,337.0,3967.0,11.771513353115727
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Horse-gram,41.0,18.0,0.43902439024390244
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Moong(Green Gram),61.0,21.0,0.3442622950819672
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Other Kharif pulses,45.0,17.0,0.37777777777777777
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Rice,38291.0,77076.0,2.012901203938262
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Sesamum,387.0,189.0,0.4883720930232558
Karnataka,DAKSHIN KANNAD,1999,Kharif     ,Urad,1504.0,489.0,0.32513297872340424
Karnataka,DAKSHIN KANNAD,1999,Rabi       ,Moong(Green Gram),752.0,187.0,0.24867021276595744
Karnataka,DAKSHIN KANNAD,1999,Rabi       ,Other  Rabi pulses,395.0,42.0,0.10632911392405063
Karnataka,DAKSHIN KANNAD,1999,Rabi       ,Rice,24957.0,53109.0,2.128020194734944
Karnataka,DAKSHIN KANNAD,1999,Rabi       ,Urad,1336.0,498.0,0.3727544910179641
Karnataka,DAKSHIN KANNAD,1999,Summer     ,Rice,2955.0,5972.0,2.0209813874788494
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Banana,1891.0,56940.0,30.111052353252248
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Black pepper,870.0,2015.0,2.3160919540229883
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Cardamom,422.0,20.0,0.04739336492890995
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Coconut ,13959.0,59589.0,4.268858800773694
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Dry chillies,573.0,840.0,1.4659685863874345
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Sugarcane,598.0,60219.0,100.70066889632108
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Sweet potato,591.0,3659.0,6.191201353637902
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Tapioca,687.0,5392.0,7.848617176128093
Karnataka,DAKSHIN KANNAD,1999,Whole Year ,Turmeric,56.0,243.0,4.339285714285714
Karnataka,DAKSHIN KANNAD,2000,Kharif     ,Dry ginger,346.0,4073.0,11.771676300578035
Karnataka,DAKSHIN KANNAD,2000,Kharif     ,Rice,35619.0,73329.0,2.058704623936663
Karnataka,DAKSHIN KANNAD,2000,Kharif     ,Sesamum,438.0,180.0,0.410958904109589
Karnataka,DAKSHIN KANNAD,2000,Rabi       ,Moong(Green Gram),971.0,260.0,0.26776519052523173
Karnataka,DAKSHIN KANNAD,2000,Rabi       ,Other  Rabi pulses,140.0,15.0,0.10714285714285714
Karnataka,DAKSHIN KANNAD,2000,Rabi       ,Rice,24510.0,48853.0,1.993186454508364
Karnataka,DAKSHIN KANNAD,2000,Rabi       ,Urad,2590.0,905.0,0.34942084942084944
Karnataka,DAKSHIN KANNAD,2000,Summer     ,Rice,2850.0,6011.0,2.109122807017544
Karnataka,DAKSHIN KANNAD,2000,Whole Year ,Arecanut,25447.0,45397.0,1.7839823947813103
